NAME,SAEPOVRTALL_RATE,Location,Latitude,Longitude
Wade Hampton Census Area,33.6,"62.145834,-162.891919",62.145834,-162.891919
Wrangell City and Borough,12.3,"56.470833,-132.376667",56.470833,-132.376667
Yakutat Borough,12.8,"59.546988,-139.727281",59.546988,-139.727281
Yukon-Koyukuk Census Area,22.1,"65.8443667,-153.4302993",65.8443667,-153.4302993
Apache County,36.5,"35.531322,-109.378321",35.531322,-109.378321
Cochise County,19.6,"31.828458,-109.949686",31.828458,-109.949686
Coconino County,21.6,"35.664755,-111.475285",35.664755,-111.475285
Gila County,25.7,"33.637057,-110.521546",33.637057,-110.521546
Graham County,26,"33.076805,-109.759167",33.076805,-109.759167
Greenlee County,13.9,"33.24056,-109.283153",33.24056,-109.283153
La Paz County,24.2,"34.006109,-113.953647",34.006109,-113.953647
Maricopa County,17.4,"33.291797,-112.429146",33.291797,-112.429146
Mohave County,21.7,"35.214335,-113.763283",35.214335,-113.763283
Navajo County,32.4,"35.401977,-110.140259",35.401977,-110.140259
Pima County,20.4,"32.057499,-111.666072",32.057499,-111.666072
Pinal County,17.4,"32.816206,-111.284503",32.816206,-111.284503
Santa Cruz County,26.2,"31.598613,-110.807608",31.598613,-110.807608
Yavapai County,18.4,"34.646398,-112.429146",34.646398,-112.429146
Yuma County,22.3,"32.652753,-113.953647",32.652753,-113.953647
Arkansas County,18.5,"34.235414,-91.289104",34.235414,-91.289104
Ashley County,19.8,"33.156594,-91.753882",33.156594,-91.753882
Baxter County,16.8,"36.326182,-92.381362",36.326182,-92.381362
Benton County,12.1,"36.266152,-94.479976",36.266152,-94.479976
Boone County,16.9,"36.311866,-93.017571",36.311866,-93.017571
Bradley County,24.4,"33.508137,-92.223667",33.508137,-92.223667
Calhoun County,16.5,"33.502089,-92.539603",33.502089,-92.539603
Carroll County,18.7,"36.29875,-93.500345",36.29875,-93.500345
Chicot County,33.4,"33.341955,-91.289104",33.341955,-91.289104
Clark County,23.1,"34.023237,-93.177966",34.023237,-93.177966
Clay County,20.1,"36.349224,-90.374835",36.349224,-90.374835
Cleburne County,16.2,"35.460577,-92.06652",35.460577,-92.06652
Cleveland County,16.7,"33.865801,-92.223667",33.865801,-92.223667
Columbia County,26.4,"33.128518,-93.177966",33.128518,-93.177966
Conway County,23,"35.272749,-92.698387",35.272749,-92.698387
Craighead County,20.6,"35.826096,-90.677305",35.826096,-90.677305
